iter	Passed	Remaining
1188	9452	2639
1189	9465	2632
1190	9479	2626
1191	9494	2620
1192	9503	2612
1193	9520	2607
1194	9535	2601
1195	9545	2593
1196	9553	2585
1197	9561	2577
1198	9568	2569
1199	9576	2561
1200	9583	2553
1201	9590	2545
1202	9597	2537
1203	9604	2528
1204	9613	2520
1205	9626	2514
1206	9634	2506
1207	9646	2499
1208	9655	2491
1209	9666	2484
1210	9679	2477
1211	9689	2470
1212	9704	2464
1213	9715	2456
1214	9730	2450
1215	9740	2443
1216	9749	2435
1217	9762	2428
1218	9770	2420
1219	9776	2412
1220	9785	2404
1221	9792	2395
1222	9799	2387
1223	9807	2379
1224	9815	2371
1225	9822	2363
1226	9829	2355
1227	9838	2347
1228	9847	2339
1229	9854	2331
1230	9861	2323
1231	9866	2314
1232	9874	2306
1233	9881	2298
1234	9888	2289
1235	9896	2281
1236	9903	2273
1237	9912	2265
1238	9921	2258
1239	9928	2249
1240	9937	2242
1241	9944	2233
1242	9952	2225
1243	9959	2217
1244	9966	2209
1245	9972	2200
1246	9979	2192
1247	9986	2184
1248	9992	2176
1249	10000	2168
1250	10007	2159
1251	10015	2151
1252	10024	2144
1253	10030	2135
1254	10038	2127
1255	10046	2119
1256	10052	2111
1257	10058	2102
1258	10065	2094
1259	10071	2086
1260	10080	2078
1261	10087	2070
1262	10094	2061
1263	10100	2053
1264	10106	2045
1265	10114	2037
1266	10124	2029
1267	10133	2021
1268	10141	2013
1269	10148	2005
1270	10155	1997
1271	10164	1989
1272	10171	1981
1273	10179	1973
1274	10186	1965
1275	10192	1957
1276	10200	1949
1277	10207	1940
1278	10214	1932
1279	10220	1924
1280	10228	1916
1281	10237	1908
1282	10244	1900
1283	10252	1892
1284	10263	1885
1285	10272	1877
1286	10278	1868
1287	10285	1860
1288	10293	1852
1289	10304	1845
1290	10313	1837
1291	10321	1829
1292	10329	1821
1293	10337	1813
1294	10346	1805
1295	10351	1797
1296	10357	1788
1297	10365	1780
1298	10373	1772
1299	10380	1764
1300	10390	1757
1301	10399	1749
1302	10407	1741
1303	10416	1733
1304	10422	1725
1305	10430	1717
1306	10438	1709
1307	10446	1701
1308	10453	1693
1309	10462	1685
1310	10469	1677
1311	10477	1669
1312	10484	1660
1313	10489	1652
1314	10498	1644
1315	10506	1636
1316	10512	1628
1317	10521	1620
